index,step_estimated,layer_estimated,alpha_s,alpha_f
610,9,34,0.68065844,1.47039178
611,9,35,0.38989141,1.30825949
612,9,36,0.74127356,1.3360328
613,9,37,0.32655565,1.21722581
614,9,38,0.42369954,1.46754314
615,9,39,0.57784326,1.3819332
616,9,40,0.7761722,1.50975646
617,9,41,0.70189867,1.47036811
618,9,42,0.74500548,1.75785152
619,9,43,0.61927708,1.43913123
620,9,44,0.40938612,1.45545434
621,9,45,0.54481468,1.61337579
622,9,46,0.48777909,1.0707054
623,9,47,0.94288896,1.46688302
624,9,48,0.66464392,1.5798329
625,9,49,0.35372173,1.99
626,9,50,0.76947367,1.41971894
627,9,51,0.78144932,1.4843809
628,9,52,0.62445633,1.50634264
629,9,53,0.86251775,1.43722519
630,9,54,0.82383726,1.59875599
631,9,55,0.84311679,1.54617872
632,9,56,0.70181535,1.61718361
633,9,57,0.59101942,1.3659723
634,9,58,0.60854641,1.62029602
635,9,59,0.90899188,1.22477679
636,9,60,0.51099799,1.61856678
637,9,61,0.73363449,1.8736906
638,9,62,0.58036057,1.27848194
639,9,63,0.37345115,1.52276803
640,10,0,0.72033026,1.5766339
641,10,1,0.75715341,1.72275608
642,10,2,0.80526183,1.63722034
643,10,3,0.84861055,1.69957882
644,10,4,0.64107557,1.55055446
645,10,5,0.75879446,1.41868057
646,10,6,0.95158314,1.6148316
647,10,7,0.75755652,1.63839038
648,10,8,0.51763163,1.31213924
649,10,9,0.9175181,1.62126155
650,10,10,0.58442458,1.05971484
651,10,11,0.6263706,1.66336603
652,10,12,0.77676975,1.44123254
653,10,13,0.37127575,1.45257697
654,10,14,0.39300456,1.61717344
655,10,15,0.62657239,1.23547656
656,10,16,0.57274336,1.5357488
657,10,17,0.73325635,1.424642
658,10,18,0.56740895,1.64439723
659,10,19,0.41750264,1.44399026
660,10,20,0.99054749,1.35524936
661,10,21,0.66247772,1.53573531
662,10,22,0.70102701,1.82026664
663,10,23,0.50316607,1.38327332
664,10,24,0.65024745,1.42585031
665,10,25,0.79145614,1.6056663
666,10,26,0.48791201,1.39143945
667,10,27,0.71127037,1.55207678
668,10,28,0.53509985,1.41659998
669,10,29,0.76147583,1.45724607
670,10,30,0.48571089,1.45157366
671,10,31,1.04520977,1.2065118
672,10,32,0.65889157,1.52041477
673,10,33,0.45018902,1.5658424
674,10,34,0.78534341,1.50915129
675,10,35,0.41751161,1.40463694
676,10,36,0.76075758,1.23268941
677,10,37,0.51584412,1.37975398
678,10,38,0.4903844,1.49802176
679,10,39,0.58769745,1.21361538
680,10,40,0.66035501,1.55163554
681,10,41,0.65319412,1.74008524
682,10,42,0.60915048,1.77251366
683,10,43,0.74984077,1.66149578
684,10,44,0.61477952,1.61012353
685,10,45,0.6455859,1.51105694
686,10,46,0.6648106,1.14291113
687,10,47,0.76474995,1.47057463
688,10,48,0.7095655,1.44759796
689,10,49,0.4628925,1.92073241
690,10,50,0.72732267,1.56416993
691,10,51,0.52254006,1.50456102
692,10,52,0.51275344,1.32029198
693,10,53,0.75677452,1.28978017
694,10,54,0.94736344,1.69671003
695,10,55,0.7293946,1.73593903
696,10,56,0.6434376,1.64004428
697,10,57,0.60713694,1.26165842
698,10,58,0.6915505,1.77234071
699,10,59,0.9687362,1.3880035
700,10,60,0.56065344,1.47328084
701,10,61,0.65505958,1.66191487
702,10,62,0.5315407,1.31443302
703,10,63,0.45492361,1.26230077
704,11,0,0.79305442,1.54123442
705,11,1,0.5631263,1.43562664
706,11,2,0.77241138,1.59295022
707,11,3,1.03881451,1.57593385
708,11,4,0.59415932,1.55371896
709,11,5,0.56246791,1.389347
710,11,6,0.97562764,1.61433561
711,11,7,0.78456218,1.6763832
712,11,8,0.53679953,1.39044728
713,11,9,0.74072499,1.7260574
714,11,10,0.68103341,1.00475553
715,11,11,0.72701492,1.5635671
716,11,12,0.71204425,1.41525174
717,11,13,0.19652804,1.48784414
718,11,14,0.47766913,1.45322952
719,11,15,0.59847542,1.20511141
720,11,16,0.40053096,1.38669661
721,11,17,0.78813757,1.41519534
722,11,18,0.56474032,1.57512917
723,11,19,0.50292814,1.38137976
724,11,20,0.76809606,1.43387672
725,11,21,0.58482552,1.32188786
726,11,22,0.70363406,1.69117292
727,11,23,0.38248132,1.51621867
728,11,24,0.6301072,1.43795603
729,11,25,0.70821301,1.5095995
730,11,26,0.43860304,1.48342476
731,11,27,0.64804287,1.37356032
732,11,28,0.62228827,1.42897844
733,11,29,0.44467064,1.33204383
734,11,30,0.63673564,1.56775503
735,11,31,0.95696452,1.18420413
736,11,32,0.66080299,1.61637977
737,11,33,0.46712552,1.43719454
738,11,34,0.76222155,1.38647234
739,11,35,0.50414637,1.55675782
740,11,36,0.73463517,1.22947772
741,11,37,0.36016387,1.27381955
742,11,38,0.54888017,1.40433746
743,11,39,0.69255009,1.59707863
744,11,40,0.81212951,1.37763547
745,11,41,0.66905593,1.6144549
746,11,42,0.66917368,1.62983726
747,11,43,0.70583205,1.43470676
748,11,44,0.60554482,1.58700802
749,11,45,0.53369691,1.55328603
750,11,46,0.61379192,1.24237782
751,11,47,0.87480625,1.390286
752,11,48,0.67751805,1.55340301
753,11,49,0.38622124,1.79916605
754,11,50,0.64966208,1.46700539
755,11,51,0.78469894,1.42180108
756,11,52,0.57785855,1.56974249
757,11,53,0.76283943,1.32285965
758,11,54,0.74711774,1.6676596
759,11,55,0.80217977,1.65361997
760,11,56,0.64656755,1.7877915
761,11,57,0.67744809,1.3516272
762,11,58,0.74269955,1.64413746
763,11,59,0.85086977,1.22806184
764,11,60,0.61906004,1.65540798
765,11,61,0.56908704,1.88173024
766,11,62,0.61687825,1.30394568
767,11,63,0.32827991,1.32840119
768,12,0,0.86239861,1.56910316
769,12,1,0.5834481,1.61210774
770,12,2,0.84853481,1.4819909
